Fecha y hora de respuesta;2. País o ciudad de nacimiento:;3. Género:;4. Fecha de nacimiento (en formato DD/MM/AAAA):;5. ¿Cuál es el máximo nivel educativo que cursás o cursaste?;6. ¿Qué carrera de grado cursás o cursaste?;7. ¿Qué carrera de posgrado cursás o cursaste?;8. ¿Trabajaste la semana pasada al menos una hora?;9. En ese trabajo...;10. ¿A qué se dedica o qué produce la empresa/establecimiento en el que trabajás?;11. ¿Desde qué fecha (DD/MM/AAAA) trabajás en este puesto?;12. ¿Cómo se llama tu ocupación?;"13. ¿Alguna vez (en este trabajo o en otra actividad) trabajaste con&nbsp;datos&nbsp;(recolectando, limpiando, analizando, etc.)?";14. ¿Cuántos años trabajaste con datos?(Si es menos de 1 registrá 0.);15. ¿Cuáles de las siguientes herramientas utilizaste? (indicar todas las utilizadas)- Excel- SPSS- SAS- R- Python- Otras (indicar cúales);16. ¿Alguna vez (en este trabajo o en otra actividad) trabajaste haciendo tareas de programación?;17. ¿Durante cuántos años? (Si no aplica ingresar 0);"18. ¿Con qué lenguajes? (Indicar todos los que apliquen)-&nbsp;Python- Ruby- PHP- Java- JavaScript- SQL- C++- Otros (indicar cuáles)";19. ¿Qué creés que va a pasar en el curso de Data Science?;20. ¿Qué te gustaría que pase?
10-08-2022 00:08:51;Perù;Masculino;06/11/1998;Cursando Ingieneria en Sistemas;Primer año - cursando;Ninguna;si;No;Indumentaria Masculina;01/10/2021;Manager;No;0;- Excel;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
10-08-2022 00:10:25;Buenos Aires;Femenino;11/05/1985;Universitario;Actuario;ninguna;si;analicé datos;Bebidas;01/06/2022;Analista Inteligencia Comercial;si;9;Excel, SPSS, R, SQL;no;0;no;voy a aprender a programar;aprender a modelar en python
10-08-2022 00:09:37;Argentina;Masculino;23/11/1995;Universitario;Ingenieria en Informatica (sin finalizar);ninguna;Si;Soy Programador;Una plataforma de callcenters en USA;05/05/2022;Desarrollador de Software;muy poco;0;Excel, Python;Si;5;Javascript, Python;vamos a analizar los datos;aprender sobre ML
10-08-2022 00:10:11;Argentina;Masculino;08/02/1996;Bachillerato ;Ninguna finalizada;Ninguna finalizada;Si ;Camarero;Gastronomía;01/02/2022;Camarero;No;Ninguno;Ninguna;No;0;Ninguno;Situaciones de resolución de problemas informáticos a las cuales no estoy acostumbrado. ;Desarrollo de habilidades y perspectiva de la práctica. 
;;;;;;;;;;;;;;;;;;;
10-08-2022 00:10:38;Argentina;Hombre;10/02/1997;Universitario;Ingeniería Industrial;Ninguna;Sí; ;E-commerce;19/10/2020;Analista de datos;Sí;2;Excel;No;0;Ninguno;Vamos a aprender y poner en práctica los fundamentos de varios de los temas dentro de Data Science;Me gustaría llevarme herramientas para poder aplicar en mi trabajo para generar soluciones nuevas.
10-08-2022 00:23:31;;;;;;;;;;;;;;;;;;;
10-08-2022 00:08:55;Buenos Aires, Argentina;Masculino;12/11/1998;Universitario;Administracion de empresas;Ninguna;No;-;-;-;Estudiante;Si;0;- Excel;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
10-08-2022 00:09:42;Francia;Masculino;07/03/1983;Universitario completo;Licenciatura en física;Carrea, ninguna. Cursos de posgrado, varios en radioterapia.;Sí.;Hice ciencia y salvé vidas;Salud;10/07/2017;Físico médico;Sí.;1;Excel, Otras (VisualStudio);Sí.;1;C++;Abrirme puertas;Cambiar de trabajo
10-08-2022 00:23:31;;;;;;;;;;;;;;;;;;;
